event_ticker,event_title,market_ticker,yes_team_subtitle,no_team_subtitle,status,result,open_time,close_time,occurrence_datetime,settlement_value_dollars,volume,open_interest
KXWCGAME-26JUL01ENGCOD,England vs Congo DR: Regulation Time Moneyline,KXWCGAME-26JUL01ENGCOD-ENG,Reg Time: England,Reg Time: England,finalized,yes,2026-06-28T02:05:00Z,2026-07-01T17:59:52Z,2026-07-01T19:00:00Z,1.0,7626782.24,3280113.95
KXWCGAME-26JUL01ENGCOD,England vs Congo DR: Regulation Time Moneyline,KXWCGAME-26JUL01ENGCOD-COD,Reg Time: Congo DR,Reg Time: Congo DR,finalized,no,2026-06-28T02:05:00Z,2026-07-01T17:59:52Z,2026-07-01T19:00:00Z,0.0,6283293.26,3239384.58
KXWCGAME-26JUL01ENGCOD,England vs Congo DR: Regulation Time Moneyline,KXWCGAME-26JUL01ENGCOD-TIE,Reg Time: Tie,Reg Time: Tie,finalized,no,2026-06-28T02:05:00Z,2026-07-01T17:59:52Z,2026-07-01T19:00:00Z,0.0,6049466.74,2034832.25
KXWCGAME-26JUN30MEXECU,Mexico vs Ecuador: Regulation Time Moneyline,KXWCGAME-26JUN30MEXECU-MEX,Reg Time: Mexico,Reg Time: Mexico,finalized,yes,2026-06-28T00:05:00Z,2026-07-01T04:04:41Z,2026-07-01T04:00:00Z,1.0,13278033.91,8722212.95
KXWCGAME-26JUN30MEXECU,Mexico vs Ecuador: Regulation Time Moneyline,KXWCGAME-26JUN30MEXECU-ECU,Reg Time: Ecuador,Reg Time: Ecuador,finalized,no,2026-06-28T00:05:00Z,2026-07-01T04:04:41Z,2026-07-01T04:00:00Z,0.0,4047388.16,2809480.01
KXWCGAME-26JUN30MEXECU,Mexico vs Ecuador: Regulation Time Moneyline,KXWCGAME-26JUN30MEXECU-TIE,Reg Time: Tie,Reg Time: Tie,finalized,no,2026-06-28T00:05:00Z,2026-07-01T04:04:41Z,2026-07-01T04:00:00Z,0.0,6679617.43,4874267.23
KXWCGAME-26JUN30FRASWE,France vs Sweden: Regulation Time Moneyline,KXWCGAME-26JUN30FRASWE-FRA,Reg Time: France,Reg Time: France,finalized,yes,2026-06-27T03:05:00Z,2026-06-30T22:54:45Z,2026-07-01T00:00:00Z,1.0,7259773.4,4589629.86
KXWCGAME-26JUN30FRASWE,France vs Sweden: Regulation Time Moneyline,KXWCGAME-26JUN30FRASWE-SWE,Reg Time: Sweden,Reg Time: Sweden,finalized,no,2026-06-27T03:05:00Z,2026-06-30T22:54:45Z,2026-07-01T00:00:00Z,0.0,3449009.76,2027438.42
KXWCGAME-26JUN30FRASWE,France vs Sweden: Regulation Time Moneyline,KXWCGAME-26JUN30FRASWE-TIE,Reg Time: Tie,Reg Time: Tie,finalized,no,2026-06-27T03:05:00Z,2026-06-30T22:54:45Z,2026-07-01T00:00:00Z,0.0,2976757.73,1598500.4
KXWCGAME-26JUN30CIVNOR,Ivory Coast vs Norway: Regulation Time Moneyline,KXWCGAME-26JUN30CIVNOR-CIV,Reg Time: Ivory Coast,Reg Time: Ivory Coast,finalized,no,2026-06-26T22:05:00Z,2026-06-30T18:59:27Z,2026-06-30T20:00:00Z,0.0,3206828.29,1519436.16
KXWCGAME-26JUN30CIVNOR,Ivory Coast vs Norway: Regulation Time Moneyline,KXWCGAME-26JUN30CIVNOR-NOR,Reg Time: Norway,Reg Time: Norway,finalized,yes,2026-06-26T22:05:00Z,2026-06-30T18:59:27Z,2026-06-30T20:00:00Z,1.0,7375645.02,3739500.48
KXWCGAME-26JUN30CIVNOR,Ivory Coast vs Norway: Regulation Time Moneyline,KXWCGAME-26JUN30CIVNOR-TIE,Reg Time: Tie,Reg Time: Tie,finalized,no,2026-06-26T22:05:00Z,2026-06-30T18:59:27Z,2026-06-30T20:00:00Z,0.0,3444532.41,1461120.74
KXWCGAME-26JUN29NEDMAR,Netherlands vs Morocco: Regulation Time Moneyline,KXWCGAME-26JUN29NEDMAR-NED,Reg Time: Netherlands,Reg Time: Netherlands,finalized,no,2026-06-26T14:01:00Z,2026-06-30T03:00:30Z,2026-06-30T04:00:00Z,0.0,9058703.09,5095133.72
KXWCGAME-26JUN29NEDMAR,Netherlands vs Morocco: Regulation Time Moneyline,KXWCGAME-26JUN29NEDMAR-MAR,Reg Time: Morocco,Reg Time: Morocco,finalized,no,2026-06-26T14:01:00Z,2026-06-30T03:00:30Z,2026-06-30T04:00:00Z,0.0,6663210.21,3436387.04
KXWCGAME-26JUN29NEDMAR,Netherlands vs Morocco: Regulation Time Moneyline,KXWCGAME-26JUN29NEDMAR-TIE,Reg Time: Tie,Reg Time: Tie,finalized,yes,2026-06-26T14:01:00Z,2026-06-30T03:00:30Z,2026-06-30T04:00:00Z,1.0,5084142.86,2290676.36
KXWCGAME-26JUN29GERPAR,Germany vs Paraguay: Regulation Time Moneyline,KXWCGAME-26JUN29GERPAR-GER,Reg Time: Germany,Reg Time: Germany,finalized,no,2026-06-27T03:05:00Z,2026-06-29T22:35:00Z,2026-06-29T23:30:00Z,0.0,9878864.39,5435216.56
KXWCGAME-26JUN29GERPAR,Germany vs Paraguay: Regulation Time Moneyline,KXWCGAME-26JUN29GERPAR-PAR,Reg Time: Paraguay,Reg Time: Paraguay,finalized,no,2026-06-27T03:05:00Z,2026-06-29T22:35:00Z,2026-06-29T23:30:00Z,0.0,7095924.26,4118409.8
KXWCGAME-26JUN29GERPAR,Germany vs Paraguay: Regulation Time Moneyline,KXWCGAME-26JUN29GERPAR-TIE,Reg Time: Tie,Reg Time: Tie,finalized,yes,2026-06-27T03:05:00Z,2026-06-29T22:35:00Z,2026-06-29T23:30:00Z,1.0,5768366.69,2623729.27
